Bar,Brewery,Beer,ABV,Style,No,size,Kils,Supplier
Brewery Bar,Hop Back,GFB,3.5%,Golden,5,18,5,Brewery
Brewery Bar,Hop Back,Crop Circle,4.2%,Golden,5,18,5,Brewery
Brewery Bar,Hop Back,Entire Stout,4.5%,Stout,4,18,4,Brewery
Brewery Bar,Hop Back,Summer Lightning,5%,Premium,6,18,6,Brewery
Brewery Bar,McMullen,AK,3.6%,Bitter,5,18,5,Brewery
Brewery Bar,McMullen,Country,4.3%,Best Bitter,5,18,5,Brewery
Brewery Bar,McMullen,Cask Bitter,3.8%,Bitter,5,18,5,Brewery
Brewery Bar,McMullen,Seasonal,4.3%,Seasonal,5,18,5,Brewery
Brewery Bar,Oakham,JHB,3.8%,Bitter,5,18,5,Brewery
Brewery Bar,Oakham,White Dwarf,4.3%,Wheat,5,18,5,Brewery
Brewery Bar,Oakham,Asylum,4.5%,Premium,5,18,5,Brewery
Brewery Bar,Oakham,Bishops Farewell,4.6%,Premium,5,18,5,Brewery
Brewery Bar,Oakham,Mompessons Gold,5%,Premium,5,18,5,Brewery
Brewery Bar,Woodforde's,Wherry,3.8%,Bitter,6,18,6,Brewery
Brewery Bar,Woodforde's,Sundew,4.1%,Best Bitter,6,18,6,Brewery
Brewery Bar,Woodforde's,Nelsons Revenge,4.5%,Premium,5,18,5,Brewery
Brewery Bar,Woodforde's,Headbanger,7%,Strong,3,18,3,Brewery
Cambridge ,Cambridge Moonshine,Harvest Moon,3.9%,Mild,4,9,2,Moonshine
Cambridge ,Cambridge Moonshine,Thunder Moon,3.9%,Bitter,3,18,3,Moonshine
Cambridge,Cambridge Moonshine,Crystal Moon,4.2%,Best Bitter,4,9,2,Moonshine
Cambridge ,Cambridge Moonshine,Moonraker Golden,5%,Golden,3,18,3,Moonshine
Cambridge,City of Cambridge,Jet Black,3.7%,Mild,4,9,2,Brewery
Cambridge,City of Cambridge,Boathouse,3.8%,Bitter,3,18,3,Brewery
Cambridge,City of Cambridge,Hobson's Choice,4.1%,Best Bitter,3,18,3,Brewery
Cambridge,City of Cambridge,Trinity,4.3%,Best Bitter,2,18,2,Brewery
Cambridge,City of Cambridge,Shaken & Stirred,,Porter,3,18,3,Brewery
Cambridge,Devils Dyke,No 7 Pale Ale,4.1%,Best Bitter,3,9,1.5,Brewery
Cambridge,Elgoods,Black Dog,3.7%,Mild,4,9,2,Brewery
Cambridge,Elgoods,Cambridge Bitter,3.8%,Bitter,3,18,3,Brewery
Cambridge,Elgoods,Double Swan,4.5%,Best Bitter,3,18,3,Brewery
Cambridge,Elgoods,Licensed to Taste,4.4%,Wheat Beer,3,18,3,Brewery
Cambridge,Elgoods,Winter Warmer,7.3%,Strong,3,18,3,Brewery
Cambridge,Fenland,Osier Cutter,4.2%,Best Bitter,6,9,3,Brewery
Cambridge,Fenland,The Hop who loved Me,3.9%,Best Bitter,6,9,3,Brewery
Cambridge,Fenland,Sparkling Wit,4.5%,Wheat,6,9,3,Brewery
Cambridge,Fenland,Raspberry Stout,4.5%,Stout,6,9,3,Brewery
Cambridge,Fenland,Smoke Stack lightning,4.2%,Mild,4,9,2,Brewery
Cambridge,Hereward,Porta Porta,4.2%,Porter,3,9,1.5,Brewery
Cambridge,Hereward,St Ethelreda's Golden,4.5%,Golden,3,9,1.5,Brewery
Cambridge,Hereward,St Wendradas,4%,Bitter,3,9,1.5,Brewery
Cambridge,Kilderkin,Double ,6%,Speciality,3,9,1.5,Brewery
Cambridge,Milton,Minotour,3.3%,Mild,4,9,2,Brewery
Cambridge,Milton,Pegasus,4.1%,Best Bitter,3,18,3,Brewery
Cambridge,Milton,Sparta,4.3%,Best Bitter,3,18,3,Brewery
Cambridge,Milton,Dr Oh alright then just one more pint,4.6%,Premium,3,18,3,Brewery
Cambridge,Milton,Mammon,7%,Strong Mild,3,18,3,Brewery
Cambridge,Ufford Ales,White Hart,3.9%,Bitter,3,9,1.5,Brewery
Cambridge,Ufford Ales,Setting Sun,5.2%,Premium,3,9,1.5,Brewery
