"brewery name"	"cask price"	"product sale price"	"brewery loc desc"	"product category"	"product name"	"product description"	"product style"	"product comment"	"cask count"	"cask size"	"gyle abv"	"previous cask price"	"cask comment"	"festival year"	"festival name"	"stillage location"
"Delvin End Cidery"	66	3.2	"Sible Hedingham, Essex"	"cider"	"Winter Festival"	"Lightly spiced medium cider"	"medium"		1		6.5			2010	"14th Cambridge Winter Ale Festival"	"Cider - Downstairs Back Bar"
"Delvin End Cidery"	66	3.2	"Sible Hedingham, Essex"	"cider"	"Orchard Express"	"Medium"	"medium"		1		6.5			2010	"14th Cambridge Winter Ale Festival"	"Cider - Downstairs Back Bar"
"Cromwell Cider"	53	2.8	"Huntingdonshire"	"cider"	"Oliver's Nouveau"	"Medium dry"	"medium dry"		2		5.8			2010	"14th Cambridge Winter Ale Festival"	"Cider - Downstairs Back Bar"
"Cromwell Cider"	53	2.8	"Huntingdonshire"	"cider"	"Oli's Sweetheart"	"Medium sweet"	"medium sweet"		2		5.8			2010	"14th Cambridge Winter Ale Festival"	"Cider - Downstairs Back Bar"
"Cassels Cider"	55	2.8	"Cambridge, Cambs"	"cider"	"Hereford Chisel Jersey"	"Medium sweet (oak matured)"	"medium sweet"		1		7.5			2010	"14th Cambridge Winter Ale Festival"	"Cider - Downstairs Back Bar"
"Cassels Cider"	55	2.8	"Cambridge, Cambs"	"cider"	"Dabinett Stoke Red"	"Medium"	"medium"		1		7			2010	"14th Cambridge Winter Ale Festival"	"Cider - Downstairs Back Bar"
"Cassels Cider"	55	2.8	"Cambridge, Cambs"	"cider"	"Stock"	"Medium Dry"	"medium dry"		1		7			2010	"14th Cambridge Winter Ale Festival"	"Cider - Downstairs Back Bar"
"Cassels Cider"	55	2.8	"Cambridge, Cambs"	"cider"	"Stock"	"Medium Sweet"	"medium sweet"		1		7			2010	"14th Cambridge Winter Ale Festival"	"Cider - Downstairs Back Bar"
"Pickled Pig"		2.8	"Stretham, Cambs"	"cider"	"New Season Porker"		"medium"		3		6.5			2010	"14th Cambridge Winter Ale Festival"	"Cider - Downstairs Back Bar"
"Pickled Pig"		2.8	"Stretham, Cambs"	"cider"	"Rum Cask"				3		6.8			2010	"14th Cambridge Winter Ale Festival"	"Cider - Downstairs Back Bar"
"Hereward"		2.8	"Ely, Cambs"	"cider"	"Medium Dry"		"medium dry"		1		6			2010	"14th Cambridge Winter Ale Festival"	"Cider - Downstairs Back Bar"
"Hereward"		2.8	"Ely, Cambs"	"cider"	"Medium Sweet"		"medium sweet"		1		6			2010	"14th Cambridge Winter Ale Festival"	"Cider - Downstairs Back Bar"
"Waggon and Horses"		2.8	"Milton, Cambs"	"cider"	"With a touch of ginger"		"medium sweet"		1		6.5			2010	"14th Cambridge Winter Ale Festival"	"Cider - Downstairs Back Bar"
