Brewery,Beer,ABV,Price,Colour,Pumpclip needed
Brewery Bar,,,,,
Batemans,Dark Mild,3,2.4,,
Batemans,Spring Goddess,4.2,2.8,,
Batemans,Valiant,4.2,2.8,,
Batemans,XB,3.7,2.6,,
Batemans,XXXB,4.8,3,,
Oakham,Black Hole Porter,5.5,2.8,,
Oakham,Inferno,4,2.6,,
Oakham,JHB,3.8,2.4,,
Oakham,Oblivion,5.7,2.8,,
Oakham,White Dwarf,4.3,2.6,,
Sharp's,Atlantic IPA,4.2,3,,
Sharp's,Cornish Coaster,3.6,2.6,,
Sharp's,Doom Bar,4,2.8,,
Sharp's,Eden Pure Ale,4.3,2.8,,
Woodforde's,Headcracker,7,,,
Woodforde's,Nelson's Revenge,4.5,,,
Woodforde's,Sundew,4.1,,,
Woodforde's,Wherry,3.8,,,
Cambridgeshire Bar,,,,,
Cambridge Moonshine,CB1 Best Bitter,4.2,2.6,,1
Cambridge Moonshine,Chocolate Orange Stout,6.7,3.4,,1
Cambridge Moonshine,Harvest Moon Mild,3.9,2.6,,1
Cambridge Moonshine,Red Watch Blueberry Ale,4.2,2.8,,1
City of Cambridge,Atomic Ale,4.5,2.8,,
City of Cambridge,Boathouse Bitter,3.7,2.6,,
City of Cambridge,New Model Ale,4.5,2.8,,
City of Cambridge,Parkers Porter,5,3,,
Devils Dyke,Bitter,3.8,2.6,,1
Devils Dyke,No7 Pale Ale,4.1,2.6,,1
Devils Dyke,Strong Mild,5,2.8,,1
Devils Dyke,Victorian,4.7,2.6,,1
Elgoods,Black Dog,3.6,2.4,,1
Elgoods,Festival Special COMPETITION,5,2.8,,1
Elgoods,Golden Newt,4.1,2.6,,1
Elgoods,Greyhound,5.2,2.8,,1
Fenland,Osier Cutter,4.2,2.8,,
Fenland,Rabbit Poacher,3.8,2.6,,
Fenland,Raspberry Stout,4.6,3.4,,
Fenland,Sparkling Wit,4.5,2.8,,
Fenland,Tumbledown Dick,4,2.8,,
Hereward,Porta Porter,4.2,2.8,,1
Hereward,Session Bitter,4,2.6,,1
Kilderkin,Double   ,6,3.2,,1
Kilderkin,Mild,3.6,2.4,,1
Milton,Dionysus,3.6,2.6,,1
Milton,Nero,5,3,,1
Milton,Pegasus,4.1,2.6,,1
Milton,Sparta,4.3,2.8,,1
Milton,Worts and All,6.5,3.4,,1
Son of Sid,Beth's Bitter,4,2.6,,1
Son of Sid,Muck Cart Mild,3.5,2.4,,1
Son of Sid,Sangraal,5,2.8,,1
Tydd Steam,Mother in Law,4.5,2.8,,1
Tydd Steam,Swedish Blonde,4,2.6,,1
Ufford Ales,Idle Hour,3.9,2.6,,1
Ufford Ales,New Model Ale,4.2,2.6,,1
Ufford Ales,Nirvana,5.7,3,,1
East Anglia Bar,,,,,
Adnams,Broadside,4.7,3.4,,
Adnams,Regatta,4.3,3,,
B&T,Black Dragon Mild,4.3,2.8,,1
B&T,Fruit Bat,4.5,3,,
B&T,Goldleaf,4.4,3,,1
Bartrams,Cherry Stout,4.8,3.2,,1
Bartrams,Comrade Bill Bartrams Soviet Stout,6.9,3.6,,
Bartrams,The Bees Knees,4.2,2.8,,
Buffy's,Norwegian Blue,4.9,3,,1
Buffy's,Polly's Folly,4.3,2.8,,1
Bull Box Brewery,Mid Life Crisis,4.6,2.6,,
Buntingford,Anglian Two,3.9,2.6,,
Buntingford,Oliver Cromwell,4.4,2.6,,
Buntingford,Western Musketeer,4.3,2.6,,1
Crouch Vale,Amarillo,5,3,,
Crouch Vale,Blackwater Mild,3.7,2.4,,1
Crouch Vale,Brewers Gold,4,2.8,,1
Fat Cat,Where's the Cat?,4.2,2.6,,
Fox,Grizzly Beer,4.8,2.8,,1
Fox,Heacham Gold,3.9,2.6,,1
Fox,Radical Puritan,5.2,2.8,,
Green Jack,Orange Wheat,4.2,2.6,,
Hopshackle,Momentum,7,3.4,,
Hopshackle,Shacklers Gold,5.2,2.8,,1
Humpty Dumpty,Lemon & Ginger,4,2.6,,
Humpty Dumpty,Reedcutter,4.4,2.8,,1
Iceni,Cranberry Wheat,4.1,2.8,,
Iceni,Cromwell's Bitter Defence,4.2,2.8,,1
Iceni,Raspberry Wheat,5,3,,
Maldon Brewing Co,Happy Jack,3.8,2.6,,
Maldon Brewing Co,Hotel Porter,4.1,2.8,,1
Mighty Oak,Oscar Wilde,3.7,2.4,,1
Mighty Oak,Simply the Best,4.4,2.6,,
Nethergate,Greedy Pike,4.2,2.8,,
Nethergate,Priory Mild,3.5,2.4,,
Nethergate,Umbel Magna,5,3,,1
Potton,Shannon IPA,3.6,2.6,,1
Potton,Village Bike,4.3,2.6,,
Red Squirrel,London Porter,5,2.8,,1
Red Squirrel,Prohibition Bitter,5,2.8,,
Spectrum,Old Stoatwobbler,6,3,,
Spectrum,Wizzard,4.9,2.8,,1
St Peters,Grapefruit Beer,4.7,2.6,,
Wolf,Coyote,4.3,2.8,,
Wolf,Prairie Gold,5,3,,1
North Bar,,,,,
Atlas,Three Sisters,4.2,2.8,,
Beartown,Bear Ass,4,2.6,,
Beartown,Black Bear,5,2.8,,
Bees Brewery,Wobble,5,2.8,,
Blue Cow Inn and Brewery,Udder Best,3.6,2.6,,
Breconshire,GVX,6,3,,
Breconshire,Ramblers Ruin,5,2.8,,
Breconshire,Welsh Pale Ale,3.7,2.6,,
Brunswick,Old Accidental,5,2.8,,
Cairngorm,Trade Winds,4.3,3,,
Cairngorm Brewing Co. Ltd,Black Gold,4.4,3,,
Caledonian,Deuchars IPA,3.8,2.6,,
Coach House Brewing Company,Honeypot Bitter,3.8,2.6,,
College Green,Headless Dog,4.3,2.8,,
Coniston,Bluebird,3.6,2.6,,
Conwy,Honey Fayre,4.5,2.8,,
Cropton,Endeavour Ale,3.6,2.6,,
Cropton,Yorkshire Moors Bitter,4.6,2.6,,
Cumbrian,Claife Crier,5,2.8,,
Everards,Sly Fox,4,2.6,,
Everards,Sun Chaser,4,2.6,,
Everards,Tiger Best Bitter,4.2,2.8,,
Fuzzy Duck,Cunning Stunt,4.3,2.8,,
Galway Hooker,Galway Hooker,4.4,3,,
Hawkshead,Bitter,3.7,2.6,,
Hawkshead,Lakeland Gold,4.4,2.8,,
Hebridean,Seaforth Ale,4.2,3,,
Hilden,Scullion's Irish,4.6,2.6,,
Hoggleys,Pump Fiction,4.5,2.6,,
Kelham Island,Pale Rider,5.2,2.8,,
Keswick,Thirst Pitch,3.8,2.6,,
Kingstone,1503,4.8,2.8,,
Messrs Maguire,Rusty,4.6,3,,
Moorehouse,Pendle Witches Brew,5.1,3,,
Northern,Soul Rider,4,2.6,,
Orkney,Dragonhead Stout,4,2.8,,
Otley,Dark O,4,2.6,,
Otley,O - 1,4,2.6,,
Peak Ales,Bakewell Best Bitter,4.2,2.6,,
Purple Moose,Cwrw Glaslyn,4.2,2.6,,
Rhymney,Hobby Horse,3.8,2.6,,
Robinson's,Double Hop,5,2.8,,
Shaws,Golden Globe,4.3,2.6,,
Watermill,W'ruff Night,5,3,,
Wensleydale,Black Dub Oat Stout,,3,,
Wensleydale,Coverdale Poacher IPA,5,3,,
South Bar,,,,,
1648,Bee Head,4.6,2.8,,
1648,Triple Champion,4,2.6,,
Arbor Ales,Slumberjack,6.9,3,,
Arbor Ales,Trendelwood Bitter,4.2,2.6,,1
Ascot Ales,Alligator Ale,4.6,2.6,,
Ascot Ales,Exile Stout,5,2.8,,
Ballards,Nyewood Gold,5,3,,1
Bays,Gold,4.3,2.6,,
Black Hole Brewery,Red Dwarf,4.5,2.8,,1
Blue Anchor,Spingo Bragget,6.1,3.2,,
Blue Anchor,Spingo Jubilee,4.5,2.6,,1
Butts Brewery,Mudskipper,4.5,3,,1
Butts Brewery,Organic Jester,3.5,2.6,,
Cannon Royall,Arrowhead Bitter,3.9,2.6,,1
Cannon Royall,Fruiterers Mild,3.7,2.4,,
Clearwater,Oliver's Nectar,5.2,2.6,,
Concrete Cow ,Cock n Bull Story,4.1,2.6,,
Concrete Cow ,Old Bloomer,4.7,2.6,,
Corvedale,Dark and Delicous,4.6,2.6,,1
Corvedale,Normans Pride,4.3,2.6,,
Dark Star,Espresso Stout,4.2,2.6,,1
Dark Star,Festival Special,4.1,2.6,,
Devon Earth,Penruddocks Uprising,4,2.6,,
Dog House,Cornish Corgi,4.5,2.6,,
