"bar_description"	"brewer_name"	"beer_name"	"gyle_abv"	"beer_style"	"num_kils"	"cask_size"	"distributor_name"	"cask_comment"	"cask_price"	"festival_year"	"festival_description"
"Cambridge"	"Cambridge Moonshine"	"Blue Watch"	"?"	"?"	4	"9"	"Cambridge Moonshine"			"2005"	"Summer Festival"
"Cambridge"	"Cambridge Moonshine"	"Mulberry Whale"	3.90%	"Bitter"	6	"9"	"Cambridge Moonshine"			"2005"	"Summer Festival"
"Cambridge"	"Cambridge Moonshine"	"Red Watch"	"?"	"?"	4	"9"	"Cambridge Moonshine"			"2005"	"Summer Festival"
"Cambridge"	"City of Cambridge"	"Boathouse Bitter"	3.80%	"Bitter"	3	"18"	"City of Cambridge"		126.36	"2005"	"Summer Festival"
"Cambridge"	"City of Cambridge"	"Flamin' Ale"	4.10%	"Best Bitter"	4	"18"	"City of Cambridge"			"2005"	"Summer Festival"
"Cambridge"	"City of Cambridge"	"Jet Black"	3.70%	"Mild"	4	"9"	"City of Cambridge"		123.66	"2005"	"Summer Festival"
"Cambridge"	"City of Cambridge"	"Parkers Porter"	5.30%	"Porter"	3	"18"	"City of Cambridge"		153.6	"2005"	"Summer Festival"
"Cambridge"	"Elgoods"	"Black Dog"	3.70%	"Mild"	4	"9"	"Elgoods"		128.16	"2005"	"Summer Festival"
"Cambridge"	"Elgoods"	"Cambridge Bitter"	3.60%	"Bitter"	3	"18"	"Elgoods"		131.04	"2005"	"Summer Festival"
"Cambridge"	"Elgoods"	"Station Officers Folly"	"?"	"?"	4	"18"	"Elgoods"			"2005"	"Summer Festival"
"Cambridge"	"Elgoods"	"Winter warmer"	7.30%	"Strong"	3	"18"	"Elgoods"			"2005"	"Summer Festival"
"Cambridge"	"Fenland"	"Babylon banks"	4.10%	"Best Bitter"	3	"9"	"Fenland"		116	"2005"	"Summer Festival"
"Cambridge"	"Fenland"	"Skullion Porter"	4.60%	"Porter"	4	"9"	"Fenland"			"2005"	"Summer Festival"
"Cambridge"	"Fenland"	"Sparkling Wit"	4.20%	"Wheat"	3	"9"	"Fenland"		124	"2005"	"Summer Festival"
"Cambridge"	"Fenland"	"St Audreys"	3.80%	"Bitter"	3	"9"	"Fenland"		112	"2005"	"Summer Festival"
"Cambridge"	"Hereward"	"Porta Porter"	4.20%	"Porter"	1.5	"9"	"Hereward"			"2005"	"Summer Festival"
"Cambridge"	"Hereward"	"St Ethelreda's"	4.00%	"Bitter"	1.5	"9"	"Hereward"			"2005"	"Summer Festival"
"Cambridge"	"Milton"	"Byblos"	6.00%	"Stout"	4	"18"	"Milton"			"2005"	"Summer Festival"
"Cambridge"	"Milton"	"Cyclops"	5.30%	"Strong"	3	"18"	"Milton"		142	"2005"	"Summer Festival"
"Cambridge"	"Milton"	"Minotour"	3.30%	"Mild"	4	"9"	"Milton"		104	"2005"	"Summer Festival"
"Cambridge"	"Milton"	"Pegasus"	4.20%	"Best Bitter"	3	"18"	"Milton"		120	"2005"	"Summer Festival"
"Cambridge"	"Oakham"	"Harlequin"	4.90%	"Premium"	3	"18"	"Oakham"			"2005"	"Summer Festival"
"Cambridge"	"Oakham"	"Inferno"	4.00%	"Best Bitter"	4	"18"	"Oakham"			"2005"	"Summer Festival"
"Cambridge"	"Oakham"	"JHB"	3.80%	"Bitter"	4	"18"	"Oakham"		94	"2005"	"Summer Festival"
"Cambridge"	"Oakham"	"White Dwarf"	4.30%	"Wheat"	3	"18"	"Oakham"		104	"2005"	"Summer Festival"
"Cambridge"	"Ufford Ales"	"A N Other"	"?"	"?"	3	"18"	"Ufford Ales"			"2005"	"Summer Festival"
"Cambridge"	"Ufford Ales"	"New Found Glory"	3.90%	"Bitter"	3	"18"	"Ufford Ales"			"2005"	"Summer Festival"
"East Anglia"	"Adnams"	"Explorer"	4.30%	"Best Bitter"	3	"18"	"Adnams"			"2005"	"Summer Festival"
"East Anglia"	"Adnams"	"Flagship"	4.30%	"Premium"	3	"18"	"Adnams"			"2005"	"Summer Festival"
"East Anglia"	"B & T"	"Black Dragon Mild"	4.30%	"Mild"	1.5	"9"	"B & T"		145	"2005"	"Summer Festival"
"East Anglia"	"B & T"	"Dragonslayer"	4.50%	"Premium"	3	"18"	"B & T"		147	"2005"	"Summer Festival"
